unk_acid_fakeName,unk_acid_realName,unk_acid_pKa,unk_acid_molarMass
KHP,Potassium hydrogen phthalate,5.408,204.23
Imidazolium,Imidazolium,6.95,340.9
Acid_of_Alice,Glycolic acid,3.831,76.05
Acid_of_Bambi,o-Toluic acid,3.9,136.15
Acid_of_Belle,2-Furoic acid,3.164,112.08
Acid_of_Bugs_Bunny,Potassium phosphate monobasic,7.2,136.08
Acid_of_Cheshire_Cat,Suberic acid,4.512,174.2
Acid_of_Cinderella,p-Chlorobenzoic acid,3.986,156.57
Acid_of_Daffy_Duck,Trimethylacetic acid,5.031,102.13
Acid_of_Donald_Duck,Chloroacetic acid,2.867,94.5
Acid_of_Dory,o-Toluic acid,3.9,136.15
Acid_of_Fairy_Godmother,Benzoic acid,4.204,122.12
Acid_of_Faline,dl-Mandelic acid,3.37,152.15
Acid_of_Flower,l-Lactic acid,3.858,90.08
Acid_of_Gaston,2-Furoic acid,3.164,112.08
Acid_of_Goofy,Hydrocinnamic acid,4.664,150.18
Acid_of_Krush,Iodoacetic acid,3.175,185.95
Acid_of_Lumiere,l-Lactic acid,3.858,90.08
Acid_of_Mad_Hatter,Diphenylacetic acid,3.939,212.25
Acid_of_Marlin,Trimethylacetic acid,5.031,102.13
Acid_of_Mickey_Mouse,Sulfanilic acid,3.227,173.19
Acid_of_Nala,Suberic acid,4.512,174.2
Acid_of_Nemo,Potassium phosphate monobasic,7.2,136.08
Acid_of_Pluto,dl-Mandelic acid,3.37,152.15
Acid_of_Porky_Pig,Chloroacetic acid,2.867,94.5
Acid_of_Prince_Charming,Hydrocinnamic acid,4.664,150.18
Acid_of_Pumbaa,Potassium bitartrate,4.36,188.18
Acid_of_Queen_of_Hearts,Benzoic acid,4.204,122.12
Acid_of_Simba,Potassium bitartrate,4.36,188.18
Acid_of_The_Beast,Glycolic acid,3.831,76.05
Acid_of_Thumper,Iodoacetic acid,3.175,185.95
Acid_of_Timon,Diphenylacetic acid,3.939,212.25
Acid_of_Tweety_Bird,Sulfanilic acid,3.227,173.19
Acid_of_Wicked_Stepmother,p-Chlorobenzoic acid,3.986,156.57
