ind_fakeName,ind_realName,ind_pKa,ind_acidSpectrum,ind_baseSpectrum
methyl_orange,methyl_orange,3.46,methyl_orange_acid,methyl_orange_base
thymol_blue,thymol_blue,9.2,thymol_blue_acid,thymol_blue_base
phenolphthalein,phenolphthalein,9.5,phenolphthalein_acid,phenolphthalein_base
bromocresol_green,bromocresol_green,4.7,bromocresol_green_acid,bromocresol_green_base
crystal_violet,crystal_violet,0.5,crystal_violet_acid,crystal_violet_base
Dye_of_Agility,Bromocresol_Purple,6.3,Bromocresol_Purple_acid,Bromocresol_Purple_base
Dye_of_Amazement,Congo_Red,4.1,Congo_Red_acid,Congo_Red_base
Dye_of_Anticipation,Nile_Blue_A,9.7,Nile_Blue_A_acid,Nile_Blue_A_base
Dye_of_Awesomeness,Nile_Blue_A,9.7,Nile_Blue_A_acid,Nile_Blue_A_base
Dye_of_Balance,Congo_Red,4.1,Congo_Red_acid,Congo_Red_base
Dye_of_Excitement,Nile_Blue_A,9.7,Nile_Blue_A_acid,Nile_Blue_A_base
Dye_of_Expertise,Bromocresol_Purple,6.3,Bromocresol_Purple_acid,Bromocresol_Purple_base
Dye_of_Expression,Nile_Blue_A,9.7,Nile_Blue_A_acid,Nile_Blue_A_base
Dye_of_Family,Resazurin,6.7,Resazurin_acid,Resazurin_base
Dye_of_Freedom,Resazurin,6.7,Resazurin_acid,Resazurin_base
Dye_of_Friendship,Congo_Red,4.1,Congo_Red_acid,Congo_Red_base
Dye_of_Haste,Bromocresol_Purple,6.3,Bromocresol_Purple_acid,Bromocresol_Purple_base
Dye_of_Health,Resazurin,6.7,Resazurin_acid,Resazurin_base
Dye_of_Honesty,Congo_Red,4.1,Congo_Red_acid,Congo_Red_base
Dye_of_Imagination,Nile_Blue_A,9.7,Nile_Blue_A_acid,Nile_Blue_A_base
Dye_of_Independence,Resazurin,6.7,Resazurin_acid,Resazurin_base
Dye_of_Intellect,Bromocresol_Purple,6.3,Bromocresol_Purple_acid,Bromocresol_Purple_base
Dye_of_Joy,Congo_Red,4.1,Congo_Red_acid,Congo_Red_base
Dye_of_Kindness,Congo_Red,4.1,Congo_Red_acid,Congo_Red_base
Dye_of_Memory,Congo_Red,4.1,Congo_Red_acid,Congo_Red_base
Dye_of_Resilience,Bromocresol_Purple,6.3,Bromocresol_Purple_acid,Bromocresol_Purple_base
Dye_of_Resourcefulness,Resazurin,6.7,Resazurin_acid,Resazurin_base
Dye_of_Speed,Resazurin,6.7,Resazurin_acid,Resazurin_base
Dye_of_Spirit,Bromocresol_Purple,6.3,Bromocresol_Purple_acid,Bromocresol_Purple_base
Dye_of_Strength,Nile_Blue_A,9.7,Nile_Blue_A_acid,Nile_Blue_A_base
Dye_of_Success,Resazurin,6.7,Resazurin_acid,Resazurin_base
Dye_of_Victory,Resazurin,6.7,Resazurin_acid,Resazurin_base
Dye_of_Whimsy,Nile_Blue_A,9.7,Nile_Blue_A_acid,Nile_Blue_A_base
Dye_of_Wisdom,Bromocresol_Purple,6.3,Bromocresol_Purple_acid,Bromocresol_Purple_base
Dye_of_Wonderment,Nile_Blue_A,9.7,Nile_Blue_A_acid,Nile_Blue_A_base
Dye_of_Youth,Congo_Red,4.1,Congo_Red_acid,Congo_Red_base
Dye_of_Zeal,Bromocresol_Purple,6.3,Bromocresol_Purple_acid,Bromocresol_Purple_base
